,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
71,6253,45,management,divorced,tertiary,no,6542,yes,no,cellular,13,aug,93,4,-1,0,unknown,no
72,7402,23,services,single,unknown,no,15,yes,no,cellular,15,may,76,2,364,2,other,no
73,1548,40,unemployed,married,primary,no,1908,yes,no,cellular,5,feb,1661,2,-1,0,unknown,yes
74,4045,45,management,married,tertiary,no,547,no,no,cellular,2,feb,577,1,-1,0,unknown,yes
75,10492,37,housemaid,married,primary,no,94,yes,no,cellular,20,apr,114,2,-1,0,unknown,no
76,6812,34,admin.,single,secondary,no,126,yes,no,unknown,20,may,61,2,-1,0,unknown,no
77,3615,29,technician,single,tertiary,no,2178,no,no,cellular,22,oct,260,2,139,1,other,yes
78,3918,52,unemployed,divorced,secondary,no,230,no,no,cellular,24,dec,422,2,-1,0,unknown,yes
79,3867,34,technician,married,secondary,no,294,yes,no,cellular,9,dec,265,1,184,3,success,yes
80,8735,21,student,single,unknown,no,200,no,no,unknown,1,jun,8,1,-1,0,unknown,no
81,8431,32,management,divorced,tertiary,no,948,no,no,cellular,12,aug,204,2,-1,0,unknown,no
82,1519,29,management,single,tertiary,no,697,no,no,cellular,4,feb,206,1,-1,0,unknown,yes
83,8436,41,technician,single,secondary,no,2919,yes,no,unknown,16,may,329,3,-1,0,unknown,no
84,7665,63,retired,divorced,primary,no,1840,no,no,cellular,12,mar,71,3,-1,0,unknown,no
85,1062,37,technician,married,tertiary,no,247,no,no,cellular,20,aug,625,6,-1,0,unknown,yes
86,5632,28,technician,single,tertiary,no,4513,yes,no,unknown,27,may,167,3,-1,0,unknown,no
87,8171,29,blue-collar,married,unknown,no,135,yes,no,unknown,23,may,150,6,-1,0,unknown,no
88,618,35,housemaid,married,primary,no,113,yes,no,cellular,17,jul,923,2,-1,0,unknown,yes
89,1100,47,blue-collar,married,unknown,yes,162,no,no,cellular,25,aug,366,3,-1,0,unknown,yes
90,6854,30,management,married,tertiary,no,69,yes,no,unknown,6,jul,42,1,-1,0,unknown,no
91,111,33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,2,-1,0,unknown,yes
92,208,23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,-1,0,unknown,yes
93,7305,52,blue-collar,married,primary,no,241,yes,no,unknown,26,may,729,2,-1,0,unknown,no
94,4225,30,management,single,tertiary,no,5359,no,no,cellular,26,feb,427,1,191,3,success,yes
95,3696,35,management,married,tertiary,no,1133,yes,no,cellular,3,nov,102,1,-1,0,unknown,yes
96,7974,50,blue-collar,divorced,primary,no,-19,yes,no,cellular,21,jul,407,11,-1,0,unknown,no
97,8795,38,management,single,tertiary,no,2346,yes,no,cellular,28,jan,315,1,-1,0,unknown,no
98,6534,33,self-employed,single,primary,no,4443,no,no,telephone,23,jul,25,6,-1,0,unknown,no
99,2148,60,housemaid,married,primary,no,1163,no,no,cellular,30,apr,470,8,-1,0,unknown,yes
100,5110,39,admin.,divorced,secondary,no,112,no,no,cellular,16,sep,574,3,-1,0,unknown,yes
101,4532,29,management,single,tertiary,no,-27,no,no,cellular,13,may,270,1,-1,0,unknown,yes
102,2475,42,blue-collar,married,primary,no,-407,yes,yes,cellular,12,may,829,7,-1,0,unknown,yes
103,3296,31,management,married,tertiary,no,537,yes,no,cellular,18,aug,216,1,-1,0,unknown,yes
104,353,39,management,married,tertiary,no,-190,no,yes,unknown,11,jun,893,8,-1,0,unknown,yes
105,4967,61,retired,married,secondary,no,1853,no,no,telephone,10,aug,520,1,181,2,success,yes
106,5301,39,management,single,secondary,no,4278,yes,no,cellular,19,nov,43,1,111,2,other,no
107,3424,43,blue-collar,married,secondary,no,2160,no,no,cellular,8,sep,261,1,98,1,success,yes
108,7013,76,housemaid,married,primary,no,1483,no,no,cellular,2,aug,90,4,-1,0,unknown,no
109,9568,42,management,married,tertiary,no,2,yes,yes,telephone,4,may,336,9,-1,0,unknown,no
110,3260,37,management,married,tertiary,no,1276,no,no,cellular,14,aug,156,2,-1,0,unknown,yes
111,9848,28,self-employed,married,tertiary,no,476,no,yes,cellular,22,jul,630,1,-1,0,unknown,no
112,6844,46,blue-collar,married,secondary,no,66,yes,no,cellular,12,may,211,1,364,3,failure,no
113,5546,39,management,single,tertiary,no,968,yes,no,cellular,22,aug,199,6,-1,0,unknown,no
114,8775,41,admin.,divorced,secondary,no,261,yes,no,cellular,29,jul,797,15,-1,0,unknown,no
115,4083,23,admin.,single,tertiary,no,897,yes,no,cellular,8,feb,190,2,280,8,failure,yes
116,6394,35,technician,divorced,tertiary,no,1242,yes,no,cellular,29,jan,141,1,245,3,failure,no
117,3700,37,management,married,tertiary,no,238,no,no,cellular,3,nov,149,1,-1,0,unknown,yes
118,9831,37,services,married,primary,yes,-483,yes,yes,cellular,19,nov,70,3,-1,0,unknown,no
119,5848,29,admin.,married,secondary,no,265,yes,no,unknown,23,may,329,2,-1,0,unknown,no
120,6372,39,blue-collar,married,primary,no,-50,yes,no,cellular,15,may,100,1,-1,0,unknown,no
121,1699,29,management,single,tertiary,no,92,no,no,cellular,2,mar,175,5,-1,0,unknown,yes
122,7781,39,technician,married,secondary,no,6,yes,no,cellular,18,may,122,3,357,4,failure,no
123,3238,38,blue-collar,married,secondary,no,1165,yes,no,cellular,13,aug,784,3,94,10,failure,yes
124,7124,33,blue-collar,married,tertiary,no,6138,yes,no,cellular,19,nov,384,1,183,1,failure,no
125,8565,37,housemaid,single,tertiary,no,561,no,no,cellular,18,nov,188,1,165,2,failure,no
126,1558,38,admin.,divorced,secondary,no,19,yes,no,cellular,5,feb,1130,3,251,2,success,yes
127,6745,42,technician,single,secondary,no,1037,yes,no,unknown,30,may,231,2,-1,0,unknown,no
128,6094,52,management,divorced,tertiary,no,0,no,no,cellular,4,feb,74,1,-1,0,unknown,no
129,8721,46,management,single,tertiary,no,311,yes,yes,cellular,27,oct,96,1,158,1,failure,no
130,1277,36,admin.,married,secondary,no,1207,yes,no,cellular,19,nov,1792,2,-1,0,unknown,yes
131,5425,60,retired,married,primary,no,115,no,no,cellular,11,aug,82,2,-1,0,unknown,no
132,2269,30,admin.,single,tertiary,no,305,no,no,cellular,30,apr,633,1,85,2,success,yes
133,9353,53,blue-collar,married,secondary,no,-108,yes,no,cellular,12,may,11,12,175,3,other,no
134,8284,24,technician,single,tertiary,no,596,yes,no,unknown,13,may,451,1,-1,0,unknown,no
135,1549,57,unemployed,married,secondary,no,3754,no,no,cellular,5,feb,1063,2,-1,0,unknown,yes
136,8416,27,admin.,married,secondary,no,132,no,no,cellular,13,oct,123,2,-1,0,unknown,no
137,3522,33,management,single,tertiary,no,5437,no,no,cellular,7,oct,201,1,58,3,failure,yes
138,7964,41,technician,single,secondary,no,413,yes,yes,cellular,8,aug,292,2,-1,0,unknown,no
139,10187,57,housemaid,divorced,unknown,no,11632,no,no,telephone,30,apr,71,2,-1,0,unknown,no
140,5308,51,services,married,secondary,no,421,yes,no,cellular,15,apr,139,2,-1,0,unknown,no
141,6705,31,technician,single,secondary,no,271,yes,no,cellular,5,may,269,1,-1,0,unknown,no
142,9558,45,unknown,married,secondary,no,2119,no,no,cellular,19,aug,120,15,-1,0,unknown,no
143,5149,35,admin.,single,secondary,no,303,no,no,cellular,24,sep,173,2,190,10,other,yes
144,2022,59,management,married,tertiary,no,0,yes,yes,cellular,20,apr,392,1,-1,0,unknown,yes
145,3670,47,management,single,tertiary,no,551,no,no,cellular,29,oct,124,1,-1,0,unknown,yes
146,1695,35,services,married,secondary,no,52,yes,no,cellular,2,mar,378,4,-1,0,unknown,yes
147,166,45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,1,-1,0,unknown,yes
148,2855,42,services,married,secondary,no,1376,yes,no,cellular,2,jun,271,2,92,4,success,yes
149,5951,31,management,single,tertiary,no,2296,yes,no,unknown,6,jun,49,8,-1,0,unknown,no
150,1981,38,management,married,tertiary,no,165,yes,no,cellular,17,apr,526,1,260,2,other,yes
151,2520,52,services,married,primary,no,306,yes,no,cellular,13,may,650,5,-1,0,unknown,yes
152,9202,54,management,married,tertiary,no,284,yes,yes,telephone,15,may,65,5,-1,0,unknown,no
153,8670,58,management,single,tertiary,no,2297,no,no,cellular,13,aug,96,2,-1,0,unknown,no
154,5793,49,management,married,tertiary,no,-190,no,no,unknown,20,jun,11,7,-1,0,unknown,no
155,3380,49,management,single,tertiary,no,5689,no,no,cellular,31,aug,470,1,97,3,failure,yes
156,4119,44,management,married,tertiary,no,1791,no,no,cellular,11,feb,71,1,190,1,success,yes
157,3794,24,student,single,secondary,no,382,no,no,cellular,13,nov,256,2,92,3,failure,yes
158,1827,33,management,single,tertiary,no,3161,yes,no,cellular,2,apr,313,3,-1,0,unknown,yes
159,10546,45,entrepreneur,married,secondary,no,404,yes,no,unknown,30,may,390,2,-1,0,unknown,no
160,758,30,management,married,tertiary,no,1221,yes,no,telephone,25,jul,279,4,-1,0,unknown,yes
161,5598,28,self-employed,single,secondary,no,1536,no,no,cellular,15,jun,294,3,-1,0,unknown,no
162,7036,56,technician,married,tertiary,yes,-736,no,no,cellular,31,jul,258,8,-1,0,unknown,no
163,8656,39,blue-collar,single,primary,no,-21,no,no,unknown,15,may,121,3,-1,0,unknown,no
164,1860,27,technician,single,tertiary,no,4661,no,no,cellular,8,apr,114,1,-1,0,unknown,yes
165,699,25,admin.,married,unknown,no,349,yes,no,cellular,22,jul,1037,8,-1,0,unknown,yes
166,10496,57,management,married,tertiary,no,337,no,no,cellular,5,feb,59,2,-1,0,unknown,no
167,9480,44,management,married,tertiary,no,223,yes,no,unknown,9,may,93,2,-1,0,unknown,no
168,3553,58,technician,married,primary,no,4198,no,no,cellular,15,oct,441,5,246,5,failure,yes
169,2428,41,admin.,single,secondary,no,-109,yes,yes,cellular,11,may,1038,1,370,1,failure,yes
170,293,27,management,single,tertiary,no,99,yes,no,unknown,4,jun,767,2,-1,0,unknown,yes
171,4441,45,blue-collar,single,secondary,no,0,yes,no,cellular,26,apr,1472,1,192,4,failure,yes
172,5363,33,management,married,secondary,no,350,yes,no,cellular,13,may,205,1,350,2,failure,no
173,6573,50,technician,married,secondary,no,3503,yes,no,unknown,6,jun,103,2,-1,0,unknown,no
174,8190,33,technician,single,secondary,no,659,no,no,cellular,26,aug,274,2,-1,0,unknown,no
175,9745,45,admin.,married,secondary,no,1435,yes,no,cellular,30,apr,257,1,-1,0,unknown,no
176,8314,45,admin.,married,secondary,no,740,no,yes,cellular,19,aug,109,2,-1,0,unknown,no
177,8394,46,services,married,secondary,no,2215,no,no,unknown,6,jun,222,2,-1,0,unknown,no
178,6179,31,management,married,tertiary,no,272,yes,no,cellular,9,jul,174,1,-1,0,unknown,no
179,3609,42,admin.,divorced,secondary,no,527,no,yes,cellular,22,oct,181,1,185,1,success,yes
180,9117,41,services,married,secondary,no,-459,yes,no,cellular,31,jul,162,2,-1,0,unknown,no
181,9074,32,technician,single,secondary,no,3297,no,no,cellular,11,aug,99,2,-1,0,unknown,no
182,4037,56,retired,divorced,primary,no,694,no,no,cellular,29,jan,144,1,102,1,other,yes
183,2091,32,management,single,tertiary,no,2069,no,no,cellular,22,apr,545,1,-1,0,unknown,yes
184,3453,56,admin.,single,secondary,no,2815,yes,no,cellular,11,sep,212,1,-1,0,unknown,yes
185,8920,43,unemployed,married,primary,no,-178,yes,no,unknown,9,may,191,2,-1,0,unknown,no
186,556,29,management,single,tertiary,no,983,yes,no,cellular,11,jul,963,2,-1,0,unknown,yes
187,1350,50,admin.,married,secondary,no,4117,no,no,cellular,21,nov,530,1,-1,0,unknown,yes
188,1739,47,management,married,tertiary,no,2351,no,no,cellular,10,mar,80,1,-1,0,unknown,yes
189,6941,47,admin.,married,secondary,no,0,no,no,unknown,3,jun,110,2,-1,0,unknown,no
190,7710,50,blue-collar,single,secondary,no,708,yes,no,unknown,15,may,104,1,-1,0,unknown,no
191,6719,26,student,single,secondary,no,1209,yes,no,cellular,7,may,57,4,-1,0,unknown,no
192,1473,37,management,married,tertiary,no,4089,yes,no,cellular,2,feb,289,2,174,4,other,yes
193,4586,33,services,single,secondary,no,2881,no,no,cellular,26,may,289,1,328,1,success,yes
194,8901,35,technician,married,secondary,no,0,yes,no,telephone,14,jul,167,4,-1,0,unknown,no
195,417,40,entrepreneur,married,tertiary,yes,0,no,no,unknown,19,jun,952,4,-1,0,unknown,yes
196,1773,31,technician,married,secondary,no,180,no,no,cellular,17,mar,299,2,-1,0,unknown,yes
197,6100,33,unemployed,single,secondary,no,682,no,no,cellular,5,feb,251,1,-1,0,unknown,no
198,3058,42,entrepreneur,married,secondary,no,2959,yes,no,telephone,2,jul,711,1,342,1,failure,yes
199,2678,25,management,married,tertiary,no,-242,yes,yes,cellular,18,may,600,4,332,4,other,yes
200,8109,32,management,single,tertiary,no,3886,yes,yes,unknown,29,may,151,7,-1,0,unknown,no
201,6550,55,housemaid,married,primary,no,4,no,no,cellular,21,nov,85,3,-1,0,unknown,no
202,8678,46,unknown,married,unknown,no,0,no,no,cellular,4,aug,343,1,-1,0,unknown,no
203,306,37,management,single,tertiary,no,240,no,no,unknown,5,jun,1123,1,-1,0,unknown,yes
204,1550,60,management,married,tertiary,no,2281,no,no,cellular,5,feb,230,2,-1,0,unknown,yes
205,8587,27,admin.,single,secondary,no,3529,no,yes,cellular,5,mar,162,1,179,2,failure,no
206,9943,53,blue-collar,married,primary,no,-864,yes,no,unknown,9,may,322,5,-1,0,unknown,no
207,7321,44,blue-collar,married,secondary,no,0,yes,no,cellular,21,jul,90,1,-1,0,unknown,no
208,6820,37,management,single,tertiary,no,7179,yes,no,unknown,6,jun,31,8,-1,0,unknown,no
209,0,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
210,5823,29,technician,married,tertiary,no,1413,yes,no,cellular,17,jul,170,4,-1,0,unknown,no
211,3591,38,blue-collar,divorced,secondary,no,0,yes,no,cellular,21,oct,576,1,183,4,success,yes
212,6596,44,blue-collar,married,secondary,no,1087,yes,no,unknown,19,may,100,2,-1,0,unknown,no
213,5630,24,student,single,secondary,no,1684,no,no,cellular,6,apr,112,4,-1,0,unknown,no
214,857,52,unknown,married,unknown,no,5361,no,no,cellular,5,aug,607,3,-1,0,unknown,yes
215,4312,35,unemployed,single,secondary,no,295,no,no,unknown,17,mar,473,1,-1,0,unknown,yes
216,4929,36,services,married,secondary,no,394,no,no,cellular,5,aug,324,1,-1,0,unknown,yes
217,6600,54,entrepreneur,married,tertiary,no,1129,no,yes,cellular,28,jan,242,1,184,8,failure,no
218,4762,79,retired,divorced,primary,no,2787,no,no,telephone,13,jul,617,1,377,1,success,yes
219,4033,62,entrepreneur,married,secondary,no,3904,no,no,telephone,29,jan,403,2,-1,0,unknown,yes
220,1861,32,management,single,tertiary,no,1781,no,no,cellular,8,apr,321,1,-1,0,unknown,yes
221,9592,26,management,married,tertiary,no,1531,yes,no,unknown,13,may,129,4,-1,0,unknown,no
222,8476,35,admin.,married,secondary,no,5250,yes,no,cellular,20,nov,363,1,-1,0,unknown,no
223,7689,34,technician,single,secondary,no,1174,no,no,cellular,25,aug,136,17,-1,0,unknown,no
224,3728,42,management,married,tertiary,no,2816,no,no,cellular,10,nov,193,2,-1,0,unknown,yes
225,1149,36,management,married,tertiary,no,0,yes,no,telephone,23,oct,140,1,143,3,failure,yes
226,9787,37,blue-collar,married,primary,no,1160,yes,no,unknown,9,may,255,2,-1,0,unknown,no
227,1402,42,services,married,secondary,no,774,no,no,cellular,28,jan,997,1,-1,0,unknown,yes
228,3799,64,retired,married,unknown,no,679,no,no,telephone,16,nov,167,1,-1,0,unknown,yes
229,7698,82,housemaid,married,primary,no,2140,no,no,telephone,14,apr,118,6,-1,0,unknown,no
230,4080,58,unemployed,married,secondary,no,1625,no,no,cellular,5,feb,286,2,-1,0,unknown,yes
231,665,32,management,single,tertiary,no,2551,yes,no,cellular,21,jul,638,3,-1,0,unknown,yes
232,9089,57,technician,married,tertiary,no,3082,yes,yes,cellular,20,apr,267,2,294,3,failure,no
233,3596,57,management,married,tertiary,no,375,no,no,cellular,21,oct,135,1,-1,0,unknown,yes
234,7190,26,management,single,tertiary,no,800,yes,no,cellular,30,jan,405,2,-1,0,unknown,no
235,75,40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,2,-1,0,unknown,yes
236,3496,47,admin.,married,secondary,no,2601,no,no,cellular,24,sep,261,1,-1,0,unknown,yes
237,5912,33,management,married,tertiary,no,137,yes,yes,cellular,21,aug,70,2,-1,0,unknown,no
238,781,48,management,divorced,tertiary,no,2263,no,no,cellular,29,jul,874,2,-1,0,unknown,yes
239,1697,43,blue-collar,married,primary,no,3917,no,no,cellular,2,mar,154,1,-1,0,unknown,yes
240,8986,40,services,single,secondary,no,5129,yes,yes,cellular,21,nov,222,6,-1,0,unknown,no
241,9506,37,management,married,tertiary,no,636,no,yes,unknown,5,jun,338,2,-1,0,unknown,no
242,6911,34,technician,single,secondary,no,102,no,no,cellular,30,jan,89,1,-1,0,unknown,no
243,388,40,technician,divorced,tertiary,no,0,no,no,unknown,17,jun,522,1,-1,0,unknown,yes
244,2812,45,admin.,married,tertiary,no,2552,no,no,cellular,1,jun,69,1,293,7,failure,yes
245,7721,42,blue-collar,married,secondary,no,54,yes,no,unknown,28,may,268,1,-1,0,unknown,no
246,808,41,blue-collar,divorced,primary,no,0,no,no,cellular,30,jul,509,2,-1,0,unknown,yes
247,6377,36,blue-collar,married,primary,no,578,yes,no,cellular,13,may,130,2,-1,0,unknown,no
248,7750,46,blue-collar,married,unknown,no,626,yes,no,unknown,19,jun,177,2,-1,0,unknown,no
249,5706,43,technician,divorced,tertiary,no,123,no,no,unknown,14,may,279,2,-1,0,unknown,no
250,88,40,services,married,primary,no,-9,yes,no,unknown,15,may,920,2,-1,0,unknown,yes
251,1761,61,admin.,married,tertiary,no,1332,no,no,cellular,12,mar,156,1,-1,0,unknown,yes
252,426,60,retired,married,secondary,no,1690,no,no,unknown,20,jun,1467,4,-1,0,unknown,yes
253,2605,32,services,married,secondary,no,38,yes,no,cellular,15,may,744,1,-1,0,unknown,yes
254,4058,78,retired,married,unknown,no,4807,no,no,telephone,3,feb,892,2,104,4,success,yes
255,1923,32,services,married,secondary,no,1129,yes,no,cellular,15,apr,903,2,341,2,failure,yes
256,10427,45,blue-collar,single,primary,no,1006,no,no,unknown,20,jun,124,1,-1,0,unknown,no
257,9550,58,blue-collar,married,primary,no,128,yes,no,telephone,30,jul,49,5,-1,0,unknown,no
258,10390,31,blue-collar,married,secondary,no,1030,yes,no,cellular,31,jul,180,5,-1,0,unknown,no
259,4691,39,technician,single,tertiary,no,393,no,no,cellular,28,jun,325,1,94,1,success,yes
260,6639,26,admin.,single,secondary,no,1327,no,no,cellular,30,mar,171,4,-1,0,unknown,no
261,10159,55,self-employed,married,secondary,no,198,no,no,cellular,25,aug,111,6,-1,0,unknown,no
262,8305,33,technician,married,secondary,no,152,yes,no,cellular,7,jul,136,1,-1,0,unknown,no
263,5604,40,technician,married,secondary,no,286,no,no,cellular,30,jul,106,4,-1,0,unknown,no
264,7887,54,blue-collar,married,secondary,no,1487,yes,no,unknown,14,may,302,16,-1,0,unknown,no
265,5379,55,technician,divorced,secondary,no,0,yes,no,unknown,20,may,365,4,-1,0,unknown,no
266,8034,33,blue-collar,married,tertiary,no,6138,yes,no,cellular,19,nov,384,1,183,1,failure,no
267,5806,38,technician,married,secondary,no,1960,yes,no,cellular,21,aug,161,2,-1,0,unknown,no
268,216,35,admin.,married,secondary,no,404,yes,no,unknown,29,may,539,1,-1,0,unknown,yes
269,10180,51,entrepreneur,married,primary,no,1443,no,no,cellular,26,may,574,1,97,10,success,no
270,2402,39,technician,divorced,secondary,no,291,yes,no,cellular,7,may,882,2,-1,0,unknown,yes
271,6353,41,blue-collar,married,unknown,no,402,yes,no,cellular,15,jul,368,2,-1,0,unknown,no
272,8259,48,unknown,married,secondary,no,-95,no,no,cellular,19,aug,134,9,-1,0,unknown,no
273,434,57,management,married,tertiary,no,9103,no,yes,unknown,20,jun,1098,2,-1,0,unknown,yes
274,8003,29,blue-collar,divorced,primary,no,2,yes,no,cellular,6,feb,10,7,-1,0,unknown,no
275,3134,49,admin.,divorced,secondary,no,1718,no,yes,cellular,5,aug,211,1,-1,0,unknown,yes
276,6400,46,management,married,tertiary,no,473,yes,no,cellular,18,aug,201,4,-1,0,unknown,no
277,3051,44,blue-collar,married,secondary,no,88,yes,no,cellular,2,jul,275,1,-1,0,unknown,yes
